num_opportunities,EMP_2016,EMP_2016,,ERP_2016,,,TZ16_CODE,,TZ16_NAME,Tz16_Area,,,,,,,
1,304694.0583,304694.0583,0,0.00010299,6.83E-06,"43,316",1,YES,Barangaroo_Headland Park,64884.12626,0," $18,380,492.76 ",,Woollahra,Waverley,Randwick,Rest of Sydney
2,390046.5602,390046.5602,0,0.00010299,8.75E-06,,2,YES,Barangaroo_Northern Cove,74488.64591,0,,Jobs,,"604,232","940,574",948.261004
3,505826.8442,505826.8442,0,0.00010299,1.13E-05,,3,YES,Barangaroo_Southern Cove,30794.77399,0,,Factor,,0.1727,0.1727,0.1727
4,553774.2947,553774.2947,0,58.99529221,7.11E+00,,4,YES,Barangaroo_Jenkins Lane,13964.45013,0,,Uplift $M," $207,542.74 "," $4,818,393.21 "," $12,422,509.70 "," $932,047.11 "
5,546404.6757,546404.6757,0,142.8118795,1.70E+01,,5,YES,Barangaroo_Ferry Terminal,33804.09123,0,,,,,,
6,342568.3747,342568.3747,0,48.40819099,3.61E+00,,6,YES,Sydney CBD_Moores Wharf,23405.44884,0,,Total,,,," $18,380,492.76 "
7,447450.1412,447450.1412,0,178.3730884,1.74E+01,,7,YES,Sydney CBD_Hickson Road_Western End,26724.96224,0,,,,,,
8,395243.7645,395243.7645,0,62.80657353,5.40E+00,,8,YES,Sydney CBD_The Rocks_Argyle Place,25366.41025,0,,,,,,
9,297697.6284,297697.6284,0,377.5755298,2.45E+01,,9,YES,Walsh Bay,66847.64739,0,,,,,,
10,379092.9802,379092.9802,0,92.57474947,7.64E+00,,10,YES,Sydney CBD_Hickson Road_Eastern End,32784.86581,0,,,,,,
11,337462.8743,337462.8743,0,0.00010299,7.57E-06,,11,YES,Sydney CBD_Dawes Point Park,41747.85415,0,,,,,,
12,357991.3728,357991.3728,0,24.53771006,1.91E+00,,12,YES,Sydney CBD_The Rocks_Trinity Ave,30434.4033,0,,,,,,
13,436547.7296,436547.7296,0,32.26452915,3.07E+00,,13,YES,Sydney CBD_Gloucester Walk,12779.90742,0,,,,,,
